date,team_a,team_b,team_a_elo,team_b_elo,team_a_ranking,team_a_rating,team_a_goals_per_game,team_a_avg_possession,team_a_pass_accuracy,team_a_shots_per_game,team_a_tackles_per_game,team_a_dribble_per_game,team_a_coach_ranking,team_b_ranking,team_b_rating,team_b_goals_per_game,team_b_avg_possession,team_b_pass_accuracy,team_b_shots_per_game,team_b_tackles_per_game,team_b_dribble_per_game,team_b_coach_ranking,team_home,results,total match goals
30/12/2017,leicester_city,liverpool,1727,1882,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,9,6.99,2.2,58,83.8,16.8,16.8,11.6,8,0,2,
30/12/2017,brighton,newcastle_united,1609,1612,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,211,6.72,1,43.8,72.3,11.9,16.9,8,168,0,0,
30/12/2017,swansea,watford,1605,1634,207,6.59,0.7,46,78.2,8.9,16.4,8.4,300,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,0,1,
30/12/2017,southampton,manchester_united,1657,1904,197,6.67,1,51,77.5,11.8,17.3,10,239,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,0,0,
31/12/2017,manchester_city,crystal_palace,1985,1639,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,185,6.84,1.2,46.9,75.4,12.5,18,12.7,151,0,0,
31/12/2017,arsenal,west_bromwich_albion,1844,1620,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,620,0,0,
13/5/2018,west_ham_united,everton,1661,1708,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,128,1,1,
13/5/2018,tottenham_hotspur,leicester_city,1910,1698,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,19,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,162,1,1,
13/5/2018,swansea_city,stoke_city,1627,1617,207,6.59,0.7,46,78.2,8.9,16.1,8.4,207,304,6.7,0.9,43.7,71.5,10.1,17.9,8.6,304,1,2,
13/5/2018,southampton,manchester_city,1654,1971,197,6.67,1,51,77.5,11.8,17.3,10,197,12,7.15,2.8,66.4,89,17.5,14.8,13.2,12,1,2,
13/5/2018,newcastle_united,chelsea,1649,1856,211,6.72,1,43.8,72.3,11.9,16.9,8,211,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,31,1,1,
13/5/2018,manchester_united,watford,1881,1626,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,13,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,235,1,1,
13/5/2018,liverpool,brighton,1922,1634,9,6.99,2.2,58,83.8,16.8,16.8,11.6,9,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,218,1,1,
13/5/2018,huddersfield_town,arsenal,1568,1817,255,6.61,0.7,46.4,74,9.5,19.6,7.3,255,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,1,2,
13/5/2018,crystal_palace,west_bromwich_albion,1684,1627,185,6.84,1.2,46.9,75.4,12.5,18,12.7,185,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,323,1,1,
13/5/2018,burnley,afc_bournemouth,1698,1661,157,6.78,0.9,45.1,70.5,9.9,14,5.7,157,203,6.65,1.2,48.5,77,12.2,13.4,9,203,1,2,
10/5/2018,west_ham_united,manchester_united,1657,1886,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,1,0,
09/05/2018,tottenham_hotspur,newcastle_united,1908,1650,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,211,6.72,1,43.8,72.3,11.9,16.9,8,168,1,1,
09/05/2018,manchester_city,brighton,1969,1636,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,1,1,
09/05/2018,leicester_city,arsenal,1684,1831,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,19,1,1,
09/05/2018,chelsea,huddersfield,1864,1560,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,1,0,
08/05/2018,swansea_city,southampton,1637,1645,207,6.59,0.7,46,78.2,8.9,16.1,8.4,300,197,6.67,1,51,77.5,11.8,17.3,10,239,1,2,
06/05/2018,manchester_city,huddersfield,1978,1552,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,1,0,
06/05/2018,arsenal,burnley,1822,1707,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,19,157,6.78,0.9,45.1,70.5,9.9,14,5.7,121,1,1,
06/05/2018,chelsea,liverpool,1855,1930,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,9,6.99,2.2,58,83.8,16.8,16.8,11.6,8,1,1,
